,question,answer,a,b,c
264,"I am a five letters word starting with ""P"". Women really love to get their hands on me. What am I?",Purse.,Phone,Perfume,Pillow
265,"I am a food that explodes. But long before I explode, I am already dead. I can be small, I can be big, and I can be fragrant. What am I?",Popcorn,Fireworks,Dynamite,Grenade
266,"I am a food that explodes. But long before I explode, I am already dead. I can be small, I can be big, and I can be fragrant. What am I?",Popcorn,Fireworks,Dynamite,Balloon
267,I am a food that stays hot even when put in the refrigerator! What am I?,Pepper.,Soup,Coffee,Pizza
268,"I am a fruit. If you had two of me, I would sound just the same. If you rearrange my letters, it could be a crime. Add me to a montage and I can become a different fruit. Remove my head and you can still listen; take away the end and I can still be eaten. Without a piece of the center, I am still a word; take away allof the middle and I am just an acronym. What am I?",A pear.,A banana,An apple,A peach
269,"I am a horse without legs and a body, I jump but never run. What kind of a horse am I?",A chess piece (horse/knight),A pogo stick,A kangaroo,A grasshopper
270,"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.,A tiger,A gorilla,A bear
271,"I am a king, and the jungle is my kingdom.I have a lush mane, and I'm tough to train.What am I?",A lion.,A tiger,A leopard,A cheetah
272,"I am a mother and a father, but have never given birth. I'm rarely still, but I never wander. What am I?",A tree.,A rock,A cloud,A river
273,I am a pal of the peanut and I love to sing along and play music. Who am I?,Jam,Butter,Jelly,Bread
274,I am a part of your body. You can hold me in your left hand but not in your right hand. What am I?,Your right elbow.,Your left elbow,Your right knee,Your nose
275,"I am a plant you use in food, and my name consists of 5 letters.Remove the first letter of my name, and you'll get a form of energy.Get rid of two, and you'll get something necessary for life.Scramble together the last 3 letters, and you can drink it.What am I?",Wheat.,Rice,Corn,Barley
276,I am a rock that's bigger than Venus but smaller than Uranus. What am I?,Earth,Mars,Jupiter,Saturn
277,"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.,A bean,A nut,A corn
278,"I am a small seed, and there are three letters in my name.Take away two letters, and I still sound the same.What am I?",A pea.,A bee,A key,A tea
279,"I am a term used to confirm. But take away my front, my face, I become known as human avarice.",Agreed.,Accepted,Consented,Concurred
280,"I am a tunnel, a shortcut that connects places across space and time. What am I?",A wormhole.,A black hole,A teleporter,A time machine
281,"I am a word of five letters. Take away my first and I am the name of what adorns the estate of many of the nobility of England. Take away my first and second, and I am the name of a place where all the world was once congregated. Take away my last, and I am the name of a beautiful mineral. Take away my two last, and I am the name of a fashionable place of resort. I am small in stature but capable of doing a great deal of mischief, as I once did in London in the year 1666. What word am I?",Spark.,Flame,Blaze,Fire
282,"I am a word that begins with the letter ""i."" If you add the letter ""a"" to me, I become a new word with a different meaning, but that sounds exactly the same. What word am I?",IsleAdd an A to get Aisle.,Island,Isla,Islet
283,"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.,A hallucination,An illusion,A phantasm
284,"I am all that you see, yet I'm nothing at all, and from you, I will flee.Formed of deception, I will twist your perception.Wherever I'm rising, I warp the horizon.What am I?",A mirage.,Illusion,Phantom,Mirage
285,I am always black and whiteBut I'm not an old TVI'm a kind of animalThat begins with the letter ZWho am I?,A zebra.,A zucchini,A zebra fish,A zodiac sign
286,I am always hard when dry but smooth and soft when wet. What am I?,Sponge.,Rock,Sand,Paper
287,"I am always hungry and will die if not fed, but whatever I touch will soon turn red. What am I?",Fire.,Water,Wind,Earth
288,"I am always there, some distance away, somewhere between land or sea and sky I fly, you may move towards me, yet distant I shall stay.",Horizon,Clouds,Mountains,Stars
289,"I am an animal, but my name makes you think of dessert or something you might put in your hair.What am I?",A moose.,A cake,A hairbrush,A chocolate
290,"I am an insect, and the first part of my name is another insect.What insect am I?",A beetle.,A butterfly,A ladybug,A mosquito
291,I am an odd number. Take away a letter and I become even. What number am I?,Seven,Six,Nine,Three
292,"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.,Admiration,Devotion,Fondness
293,"I am another word for love, and I consist of nine letters. I rhyme with selection and perfection.What am I?",Affection.,Connection,Reflection,Direction
294,"I am big on Saturday and Sunday. Small on Tuesday, Wednesday, and Thursday. I'm not on Monday or Friday. What am I?",The letter S.,The number 7,The color blue,"The word ""weekend"
295,"I am born in fear, raised in truth,and I come to my own in deed.When comes a time that I'm called forth,I come to serve the cause of need.What am i?",Courage,Fearlessness,Bravery,Boldness
296,"I am both a bird and a kind of fruit, and I can even be a person.What am I?",Kiwi.,Mango,Pineapple,Banana
297,I am called the most romantic fruit on the planet. What am I?,Honeydew,Strawberry,Cherry,Passionfruit
298,"I am clean, but not water.I am white, but not snow.I am sweet, but not ice cream.What am I?",Sugar,Salt,Flour,Milk
299,"I am dirty, I love being filled with wood, but someone only goes down on me once a year. What am I?",A fireplace.,A chimney,A grill,A bonfire
300,"I am first on earth, the second in heaven.I appear twice a week, though you only see me once in a year.What am I?",The letter E.,The number 7,The color blue,The planet Mars
301,"I am good at concealing what's real and hide what's true.Sometimes, I bring out the courage in you!What am I?",Makeup.,Mask,Illusion,Deception
302,"I am green skinned, ugly and come out at night with an old broom. Who am I?",A witch.,A goblin,A vampire,A troll
303,"I am long, you move me around with your lips and tongue, I get wet with saliva and I get sucked. What am I?",A straw.,A toothbrush,A pen,A spoon
304,I am named after the animal I eat.What am I?,An anteater.,A lion,A tiger,A bear
305,I am needed for flight but cannot fly on my own. What am I?,Feathers,Wings,Airplane,Helicopter
306,"I am not found on any ground,But always in the air;Though charged each cloud with thunder loud,You can not find me there.Now, if from France you choose to danceYour way just into Spain,I there am seen, and near the queen,In hail, in mist, and rain.What am I?",The letter I.,The number 1,The letter A,"The word ""me"
307,I am occasionally associated with smelly things. What state of matter am I?,Gas,Liquid,Solid,Plasma
308,I am present in marshesAnd also in the rumen of cattleTo stop global warmingI do very little.What am I?,Methane gas,Carbon dioxide,Nitrous oxide,Ozone
309,"I am seen in the waterIf seen in the sky,I am in the rainbow,A jay's feather,And lapis lazuli.What am I?",The color blue.,The ocean,The sky,A blue jay
310,I am six letters. When you take one away I am twelve. What am I?,The word dozens.,The word numbers,The word letters,The word alphabet
311,"I am small, but, when entire, of force to set a town on fire!Let but one letter disappear, I then can hold a herd of deer;Take one more off, and then you'll find, I once contained all human kind.",A Spark.,A Flame,A Blaze,A Fireball
312,"I am tall when I'm young and short when I'm old. I can brighten your day, unless it's windy. What am I?",A candle.,A flower,A tree,A rainbow
313,"I am the beginning of the end, and the end of time and space. I am essential to creation, and I surround every place. What am I?","The letter e. End, timE, spacE, Every placE",The number 1,"The word ""and",The color blue
314,I am the favorite fruit of computer nerds. Who am I?,Apple,Banana,Orange,Raspberry
315,"I am the hole in the night,the ever-watchful eye.I return in a cycle,to enlighten the sky.Who am I?",The moon.,The sun,The stars,The streetlights
316,I am the meanest of all foods and it takes all the might of your teeth to tear me apart. What am I?,Jerky,Popcorn,Celery,Peanut butter
317,I am the meanest of all foods and it takes all the might of your teeth to tear me apart. What am I?,Jerky,Popcorn,Celery,Tofu
318,I am the only thing that always tells the truth. I show off everything that I see. I come in all shapes and sizes. So tell me what I must be! What am I?,"I must be a mirror, of course.",A camera,A window,A book
319,"I am the reason you run, because I allow it. I am the reason you scream. I am the cause of all your pain. I am a cage from which you will never be free.",Your body.,Your mind,Your past,Your fears
320,I am the shortest complete sentence in the English language.,Go.,Run.,Stop.,Jump.
321,I am the son of a chemist and a mathematician. People call me iron 59. What is my name?,Felix. Fe=iron LIX-59,Nick. Ni=nickel K=potassium,Calvin. Ca=calcium Lv=55,Adam. Ad=adamantium M=13
322,I am three-quarters of the universe and almost nothing is known about me. What am I?,Dark matter.,Empty space,Black holes,Anti-matter
323,I am white and I am black. I am not fat because I need to be fast.  I confuse many people with my style. What am I?,A zebra.,A penguin,A skunk,A panda
