questions,answers,Gpt
"A wife decides to shoot her husband. She does so, then holds him underwater for more than 5 minutes. Finally she hangs him. 10 minutes later they both go out to lunch. How is this possible?","The woman shot a photo of the husband, they developed the photo in water and hanged it to dry.","option : The husband was already dead before the wife shot him, so holding him underwater and hanging him had no effect on his state.
option : The wife shot her husband with a tranquilizer dart, held him underwater to wake him up, and then hung him up to dry off before going out to lunch.
option : The wife shot her husband with a water gun, held him underwater to cool him down, and then hung him up to dry before going out to lunch."
"What has six faces, but does not wear makeup, has twenty-one eyes, but cannot see?",A Die (dice),"option : A mirror, option : A potato, option : A rock"
"A boy was at a carnival and went to a booth where a man said to the boy, ""If I write your exact weight on this piece of paper then you have to give me $10, but if I cannot, I will pay you $10."" The boy looked around and saw no scale so he agrees, thinking no matter what the carny writes he'll just say he weighs more or less. In the end the boy ended up paying the man $10. How did the man win the bet?","He wrote ""Your exact weight."" on the paper.","option : ""He guessed the boy's weight correctly."", option : ""He used a hidden scale to weigh the boy."", option : ""He tricked the boy into revealing his weight."""
"Two girls have the same parents and were born at the same hour of the same day of the same month, but they are not twins. How can this be possible?",They were not born in the same year.,"option 1: They were born in different cities.
option 2: They were born in different countries.
option 3: They were born in different hospitals."
The ages of a father and son add up to 66. The father's age is the son's age reversed. How old could they be?* There are THREE possible solutions,51 and 1542 and 2460 and 06,"option 1: 45 and 1542 and 2460 and 06
option 2: 51 and 1542 and 2460 and 10
option 3: 51 and 1542 and 2460 and 12"
Arnold Schwarzenegger's is really long. Michael J. Fox's is really short. Mickey Mouse's isn't human. Madonna doesn't have one. What is it?,A last name.,"option : A middle name, option : A nickname, option : A stage name"
"This city might as well be named ""Armed conflict cutting tool.""",Warsaw (Poland),"option : ""Beirut (Lebanon)"", option : ""Damascus (Syria)"", option : ""Baghdad (Iraq)"""
"This city might as well be called: ""Wander.""",Rome (Italy),"option : ""Paris (France)"", option : ""Athens (Greece)"", option : ""Tokyo (Japan)"""
"This city can be also named as: ""Father goes after container for carrying things.""",Baghdad (Iraq),"option : ""Cairo (Egypt)"", option : ""Riyadh (Saudi Arabia)"", option : ""Tehran (Iran)"""
"This city can be just as well called: ""Supply Residence"".",Stock-Holm! (Sweden),"option : ""Inventory House"", option : ""Warehouse Town"", option : ""Store City"""
"City name sounds like: ""Sprouts' first name.""",Brussels (Belgium),"option : ""Paris (France)"", option : ""Rome (Italy)"", option : ""Berlin (Germany)"""
"Which city name can also be represented by: ""Insane to move""",Mad-rid! (Spain),"option : ""Crazy-town"", option : ""Lunatic-ville"", option : ""Bonkersburg"""
"What city's name can be described as: ""Before noon, gaze at water barrier.""",Am-ster-dam (Netherlands),"option : ""Lon-don (United Kingdom)"", option : ""Ven-ice (Italy)"", option : ""Rio de Janeiro (Brazil)"""
"Which city can be also named: ""Rooster appears after sudden loud noise.""",Bangkok (Thailand),"option : ""Cock-a-doodle-doo (France)"", option : ""Clucktown (USA)"", option : ""Squawkville (Australia)"""
What do you answer even though it never asks you questions?,A doorbell. (Or a phone),"option : A mirror, option : A clock, option : A television"
What can you see in the middle of March and April that you can never see in any other month?,The letter R.,"option : The color green, option : A leprechaun, option : A four-leaf clover"
What do you bury when it's alive and dig up when it's dead?,A plant.,"option : A pet, option : A treasure, option : A secret"
"As a stone inside a tree, I'll help your words outlive thee. But if you push me as I stand, the more I move the less I am.What am I?",A pencil.,"option : A pen, option : A typewriter, option : A computer"
You are lost in the woods and the path you are following forks into two: a path to the left and one to the right. One path will lead you to safety while the other will cause you to be lost forever.At the fork are two twin sisters who know which path is which. The sisters are identical in every way except one: one of the sisters always tells the truth while the other always lies.You can ask only one question and you don't know which sister is which. What can you say to them so you know which path to take?,"Ask one of the sisters which path their sister would tell you to take.Let's say the left hand path is the correct one to follow. The sister that lies knows their truthful sister would tell you the left hand path, so as they always lie they will tell you the right hand path.The honest sister knows their lying sister will tell you the right hand path and because they're honest, they will tell you this. So you should follow the opposite path to that which you are told, regardless of which sister tells you.","option 1: Ask one of the sisters which path they would take themselves.
option 2: Ask one of the sisters which path leads to danger.
option 3: Ask one of the sisters which path they think the other sister would choose."
"I live in my little house all alone. There are no windows or doors, and if I want to go out I have to break through the wall. What am I?",An unhatched chick.,"option : A seed, option : A hermit crab, option : A prisoner"
